"trace","speedup","n","m"
"fa_seq512_rowmajor",0.92,3,2
"fa_seq512_diagonal",1.46,3,2
"fa_seq512_zigzag",1.39,3,2
"fa_seq1024_rowmajor",0.92,3,2
"fa_seq1024_diagonal",1.1,3,2
"fa_seq1024_zigzag",1.01,3,2
"rowmajor_full",0.8,3,2
"fa_seq512_rowmajor",1,3,4
"fa_seq512_diagonal",1.55,3,4
"fa_seq512_zigzag",0.71,3,4
"fa_seq1024_rowmajor",1.1,3,4
"fa_seq1024_diagonal",1,3,4
"fa_seq1024_zigzag",1,3,4
"rowmajor_full",0.8,3,4
"fa_seq512_rowmajor",7.69,3,6
"fa_seq512_diagonal",1.01,3,6
"fa_seq512_zigzag",8.28,3,6
"fa_seq1024_rowmajor",1.01,3,6
"fa_seq1024_diagonal",0.99,3,6
"fa_seq1024_zigzag",0.88,3,6
"rowmajor_full",0.83,3,6
"fa_seq512_rowmajor",1.36,5,2
"fa_seq512_diagonal",1.29,5,2
"fa_seq512_zigzag",1.15,5,2
"fa_seq1024_rowmajor",1.02,5,2
"fa_seq1024_diagonal",1.02,5,2
"fa_seq1024_zigzag",1,5,2
"rowmajor_full",0.81,5,2
"fa_seq512_rowmajor",1.76,5,4
"fa_seq512_diagonal",1,5,4
"fa_seq512_zigzag",1,5,4
"fa_seq1024_rowmajor",1,5,4
"fa_seq1024_diagonal",1.01,5,4
"fa_seq1024_zigzag",1.01,5,4
"rowmajor_full",0.6,5,4
"fa_seq512_rowmajor",1.22,5,6
"fa_seq512_diagonal",0.98,5,6
"fa_seq512_zigzag",1,5,6
"fa_seq1024_rowmajor",1.02,5,6
"fa_seq1024_diagonal",1,5,6
"fa_seq1024_zigzag",0.95,5,6
"rowmajor_full",0.73,5,6
"fa_seq512_rowmajor",1.14,6,2
"fa_seq512_diagonal",1.57,6,2
"fa_seq512_zigzag",1.01,6,2
"fa_seq1024_rowmajor",0.97,6,2
"fa_seq1024_diagonal",1.13,6,2
"fa_seq1024_zigzag",1.16,6,2
"rowmajor_full",0.86,6,2
"fa_seq512_rowmajor",1.11,6,4
"fa_seq512_diagonal",1.18,6,4
"fa_seq512_zigzag",0.2,6,4
"fa_seq1024_rowmajor",1.01,6,4
"fa_seq1024_diagonal",0.98,6,4
"fa_seq1024_zigzag",1.07,6,4
"rowmajor_full",0.83,6,4
"fa_seq512_rowmajor",0.32,6,6
"fa_seq512_diagonal",1,6,6
"fa_seq512_zigzag",1.71,6,6
"fa_seq1024_rowmajor",1.06,6,6
"fa_seq1024_diagonal",1.01,6,6
"fa_seq1024_zigzag",1,6,6
"rowmajor_full",0.79,6,6
"fa_seq512_rowmajor",1.03,7,2
"fa_seq512_diagonal",1.08,7,2
"fa_seq512_zigzag",0.64,7,2
"fa_seq1024_rowmajor",1.01,7,2
"fa_seq1024_diagonal",1,7,2
"fa_seq1024_zigzag",1.25,7,2
"rowmajor_full",0.85,7,2
"fa_seq512_rowmajor",1.08,7,4
"fa_seq512_diagonal",10.05,7,4
"fa_seq512_zigzag",0.38,7,4
"fa_seq1024_rowmajor",1.01,7,4
"fa_seq1024_diagonal",1.03,7,4
"fa_seq1024_zigzag",1,7,4
"rowmajor_full",0.8,7,4
"fa_seq512_rowmajor",0.48,7,6
"fa_seq512_diagonal",0.19,7,6
"fa_seq512_zigzag",0.87,7,6
"fa_seq1024_rowmajor",1.01,7,6
"fa_seq1024_diagonal",1.13,7,6
"fa_seq1024_zigzag",1,7,6
"rowmajor_full",0.81,7,6
"fa_seq512_rowmajor",1,9,2
"fa_seq512_diagonal",10.17,9,2
"fa_seq512_zigzag",0.96,9,2
"fa_seq1024_rowmajor",0.9,9,2
"fa_seq1024_diagonal",1,9,2
"fa_seq1024_zigzag",0.89,9,2
"rowmajor_full",0.83,9,2
"fa_seq512_rowmajor",13.3,9,4
"fa_seq512_diagonal",0.69,9,4
"fa_seq512_zigzag",0.85,9,4
"fa_seq1024_rowmajor",1.12,9,4
"fa_seq1024_diagonal",1.01,9,4
"fa_seq1024_zigzag",1.11,9,4
"rowmajor_full",0.87,9,4
"fa_seq512_rowmajor",0.21,9,6
"fa_seq512_diagonal",15.58,9,6
"fa_seq512_zigzag",11.36,9,6
"fa_seq1024_rowmajor",1,9,6
"fa_seq1024_diagonal",1.02,9,6
"fa_seq1024_zigzag",1,9,6
"rowmajor_full",0.79,9,6
