"trace","best_n","best_m","best_speed","worst_n","worst_m","worst_speed","default_speed","gain_vs_default","range_ratio"
"radial_bnd_5pi12",9,6,1.21,6,4,0.52,0.52,2.32692307692308,2.32692307692308
"circular_r060",3,6,1.84,2,1,0.7,1.01,1.82178217821782,2.62857142857143
"circular_r030",4,3,2.37,7,3,0.92,1.35,1.75555555555556,2.57608695652174
"radial_bnd_pi4",6,2,1.15,6,5,0.58,0.7,1.64285714285714,1.98275862068966
"polar_tile_pi6",6,6,1.36,9,4,0.81,0.94,1.4468085106383,1.67901234567901
"radial_bias_07",3,1,1.15,9,3,0.53,0.84,1.36904761904762,2.16981132075472
"polar_tile_pi4",4,6,1.32,6,6,0.77,1,1.32,1.71428571428571
"radial_bias_00",7,4,1.52,2,1,0.95,1.21,1.25619834710744,1.6
"rowmajor_full",6,1,0.81,8,5,0.5,0.66,1.22727272727273,1.62
"radial_mid_pi6",2,6,1.67,2,1,0.99,1.39,1.20143884892086,1.68686868686869
"colmajor_full",2,5,1.2,4,5,0.77,1,1.2,1.55844155844156
"radial_mid_0",8,1,1.18,3,3,0.85,1,1.18,1.38823529411765
"radial_mid_pi3",6,6,1.1,2,5,0.69,0.98,1.12244897959184,1.59420289855072
"radial_bnd_pi12",6,2,1.12,9,4,0.91,1,1.12,1.23076923076923
"random",3,4,1.05,2,6,0.9,0.97,1.08247422680412,1.16666666666667
